nurse_id,name,day,shift,assigned,skill_level
14,Nurse_15,Mon,M,0,junior
14,Nurse_15,Mon,A,0,junior
14,Nurse_15,Mon,N,0,junior
14,Nurse_15,Tue,M,0,junior
14,Nurse_15,Tue,A,0,junior
14,Nurse_15,Tue,N,1,junior
14,Nurse_15,Wed,M,0,junior
14,Nurse_15,Wed,A,1,junior
14,Nurse_15,Wed,N,0,junior
14,Nurse_15,Thu,M,0,junior
14,Nurse_15,Thu,A,0,junior
14,Nurse_15,Thu,N,0,junior
14,Nurse_15,Fri,M,0,junior
14,Nurse_15,Fri,A,1,junior
14,Nurse_15,Fri,N,0,junior
14,Nurse_15,Sat,M,0,junior
14,Nurse_15,Sat,A,0,junior
14,Nurse_15,Sat,N,0,junior
14,Nurse_15,Sun,M,0,junior
14,Nurse_15,Sun,A,0,junior
14,Nurse_15,Sun,N,0,junior
15,Nurse_16,Mon,M,0,junior
15,Nurse_16,Mon,A,0,junior
15,Nurse_16,Mon,N,0,junior
15,Nurse_16,Tue,M,0,junior
15,Nurse_16,Tue,A,0,junior
15,Nurse_16,Tue,N,0,junior
15,Nurse_16,Wed,M,0,junior
15,Nurse_16,Wed,A,0,junior
15,Nurse_16,Wed,N,0,junior
15,Nurse_16,Thu,M,0,junior
15,Nurse_16,Thu,A,0,junior
15,Nurse_16,Thu,N,1,junior
15,Nurse_16,Fri,M,0,junior
15,Nurse_16,Fri,A,0,junior
15,Nurse_16,Fri,N,0,junior
15,Nurse_16,Sat,M,0,junior
15,Nurse_16,Sat,A,0,junior
15,Nurse_16,Sat,N,0,junior
15,Nurse_16,Sun,M,0,junior
15,Nurse_16,Sun,A,0,junior
15,Nurse_16,Sun,N,0,junior
16,Nurse_17,Mon,M,0,senior
16,Nurse_17,Mon,A,0,senior
16,Nurse_17,Mon,N,0,senior
16,Nurse_17,Tue,M,0,senior
16,Nurse_17,Tue,A,1,senior
16,Nurse_17,Tue,N,0,senior
16,Nurse_17,Wed,M,0,senior
16,Nurse_17,Wed,A,1,senior
16,Nurse_17,Wed,N,0,senior
16,Nurse_17,Thu,M,1,senior
16,Nurse_17,Thu,A,0,senior
16,Nurse_17,Thu,N,0,senior
16,Nurse_17,Fri,M,1,senior
16,Nurse_17,Fri,A,0,senior
16,Nurse_17,Fri,N,0,senior
16,Nurse_17,Sat,M,1,senior
16,Nurse_17,Sat,A,0,senior
16,Nurse_17,Sat,N,0,senior
16,Nurse_17,Sun,M,0,senior
16,Nurse_17,Sun,A,0,senior
16,Nurse_17,Sun,N,0,senior
17,Nurse_18,Mon,M,0,junior
17,Nurse_18,Mon,A,0,junior
17,Nurse_18,Mon,N,1,junior
17,Nurse_18,Tue,M,1,junior
17,Nurse_18,Tue,A,0,junior
17,Nurse_18,Tue,N,0,junior
17,Nurse_18,Wed,M,0,junior
17,Nurse_18,Wed,A,1,junior
17,Nurse_18,Wed,N,0,junior
17,Nurse_18,Thu,M,1,junior
17,Nurse_18,Thu,A,0,junior
17,Nurse_18,Thu,N,0,junior
17,Nurse_18,Fri,M,0,junior
17,Nurse_18,Fri,A,1,junior
17,Nurse_18,Fri,N,0,junior
17,Nurse_18,Sat,M,0,junior
17,Nurse_18,Sat,A,0,junior
17,Nurse_18,Sat,N,0,junior
17,Nurse_18,Sun,M,0,junior
17,Nurse_18,Sun,A,0,junior
17,Nurse_18,Sun,N,0,junior
18,Nurse_19,Mon,M,0,senior
18,Nurse_19,Mon,A,0,senior
18,Nurse_19,Mon,N,0,senior
18,Nurse_19,Tue,M,1,senior
18,Nurse_19,Tue,A,0,senior
18,Nurse_19,Tue,N,0,senior
18,Nurse_19,Wed,M,1,senior
18,Nurse_19,Wed,A,0,senior
18,Nurse_19,Wed,N,0,senior
18,Nurse_19,Thu,M,0,senior
18,Nurse_19,Thu,A,0,senior
18,Nurse_19,Thu,N,1,senior
18,Nurse_19,Fri,M,0,senior
18,Nurse_19,Fri,A,0,senior
18,Nurse_19,Fri,N,0,senior
18,Nurse_19,Sat,M,0,senior
18,Nurse_19,Sat,A,0,senior
18,Nurse_19,Sat,N,1,senior
18,Nurse_19,Sun,M,0,senior
18,Nurse_19,Sun,A,0,senior
18,Nurse_19,Sun,N,1,senior
19,Nurse_20,Mon,M,1,senior
19,Nurse_20,Mon,A,0,senior
19,Nurse_20,Mon,N,0,senior
19,Nurse_20,Tue,M,1,senior
19,Nurse_20,Tue,A,0,senior
19,Nurse_20,Tue,N,0,senior
19,Nurse_20,Wed,M,1,senior
19,Nurse_20,Wed,A,0,senior
19,Nurse_20,Wed,N,0,senior
19,Nurse_20,Thu,M,0,senior
19,Nurse_20,Thu,A,1,senior
19,Nurse_20,Thu,N,0,senior
19,Nurse_20,Fri,M,0,senior
19,Nurse_20,Fri,A,0,senior
19,Nurse_20,Fri,N,0,senior
19,Nurse_20,Sat,M,1,senior
19,Nurse_20,Sat,A,0,senior
19,Nurse_20,Sat,N,0,senior
19,Nurse_20,Sun,M,1,senior
19,Nurse_20,Sun,A,0,senior
19,Nurse_20,Sun,N,0,senior
